,City,Country,Date,Lat,Lng,Cloudiness,Humidity,Max Temp,Wind Speed
146,Sondrio,IT,1551679064,46.17,9.88,0,65,45.0,5.82
147,Geraldton,CA,1551675600,49.72,-86.95,5,67,-22.01,2.24
148,Ribeira Grande,PT,1551679081,38.52,-28.7,100,97,60.41,24.38
149,Vestmannaeyjar,IS,1551679082,63.44,-20.27,68,100,34.49,14.54
150,Sorbhog,IN,1551679082,26.5,90.87,0,66,72.29,4.36
151,Saint-Pierre,FR,1551679024,48.95,4.24,32,66,53.6,33.33
152,Bahia Honda,CU,1551679084,22.9,-83.16,12,90,69.18,2.57
153,Bonthe,SL,1551679085,7.53,-12.5,0,97,73.73,4.14
154,Chuy,UY,1551679086,-33.69,-53.46,0,93,64.68,12.64
155,Plaeng Yao,TH,1551679013,13.58,101.28,40,59,99.0,18.34
156,Chokurdakh,RU,1551679088,70.62,147.9,12,76,-11.87,4.59
157,Burnie,AU,1551678844,-41.05,145.91,8,47,80.01,15.01
158,Linjiang,CN,1551679089,41.81,126.91,32,71,46.37,3.13
159,Avarua,CK,1551677400,-21.21,-159.78,68,83,77.0,8.05
160,Zhangye,CN,1551679090,38.94,100.46,0,90,40.52,3.91
161,Airai,TL,1551679090,-8.93,125.41,56,89,77.06,1.12
162,Karsun,RU,1551679090,54.2,46.98,80,86,25.62,10.29
163,Anito,PH,1551679091,12.45,125.29,88,100,79.08,10.29
164,Dudinka,RU,1551679091,69.41,86.18,80,84,10.55,14.2
165,Santiago del Estero,AR,1551679092,-27.8,-64.26,8,66,79.85,15.55
166,Rio Grande,BR,1551679092,-32.03,-52.1,0,93,70.85,14.09
167,Longyearbyen,NO,1551678600,78.22,15.63,40,70,-4.01,9.17
168,Jinxi,CN,1551679093,27.92,116.75,32,77,62.97,3.36
169,Malko Tarnovo,TR,1551678362,41.98,27.52,0,92,34.0,8.05
170,Dingle,PH,1551679093,11.0,122.67,8,52,89.25,12.3
171,Kuryk,KZ,1551679094,43.18,51.68,8,100,37.5,8.84
172,Brownsville,US,1551678922,25.91,-97.49,90,93,60.01,17.22
173,Talcahuano,CL,1551675600,-36.72,-73.12,0,82,55.4,9.17
174,Luderitz,NA,1551679095,-26.65,15.16,0,80,62.7,18.45
175,Verkhoyansk,RU,1551679096,67.55,133.39,12,60,-13.67,3.58
176,Kamaishi,JP,1551675600,39.28,141.86,75,32,53.6,5.82
177,Port Lincoln,AU,1551679096,-34.72,135.86,0,80,72.29,10.96
178,Belton,US,1551679096,31.06,-97.46,40,80,32.0,14.99
179,Nadadores,MX,1551678904,27.03,-101.59,48,84,54.0,5.99
180,Saint-Joseph,FR,1551679083,43.56,6.97,40,93,53.01,8.05
181,Esperance,TT,1551678447,10.24,-61.45,20,88,73.4,6.38
182,Clyde River,CA,1551675600,70.47,-68.59,1,75,-16.61,3.36
183,Anadyr,RU,1551678789,64.73,177.51,75,88,32.0,35.79
184,Nisia Floresta,BR,1551679101,-6.09,-35.21,92,98,75.8,3.13
185,Sitka,US,1551678324,37.17,-99.65,92,86,7.0,5.99
186,Kiruna,SE,1551676800,67.86,20.23,0,69,-7.61,8.05
187,Susuman,RU,1551679102,62.78,148.15,68,61,-5.43,2.91
188,Torbay,CA,1551678630,47.66,-52.73,90,85,21.99,11.41
189,Santo Amaro da Imperatriz,BR,1551678387,-27.69,-48.78,40,83,77.0,9.17
190,San Patricio,PY,1551679103,-26.98,-56.83,8,57,73.55,5.26
191,Mabaruma,GY,1551679107,8.2,-59.78,0,82,76.79,6.71
192,Rundu,NA,1551679107,-17.91,19.77,48,67,72.92,3.8
193,Caceres,CO,1551679108,5.53,-74.53,80,99,66.48,2.35
194,Goderich,CA,1551678945,43.74,-81.71,8,60,16.0,1.01
195,Shetpe,KZ,1551679109,44.14,52.16,32,68,34.08,6.04
196,La Romana,DO,1551675600,18.43,-68.97,40,88,71.6,3.24
197,Rocha,UY,1551679109,-34.48,-54.34,8,79,61.22,11.52
198,Tuatapere,NZ,1551678605,-46.13,167.69,92,56,69.01,10.0
199,Nizhniy Tsasuchey,RU,1551679110,50.52,115.13,0,25,40.38,12.08
200,Zempoala,MX,1551679111,20.09,-98.0,12,81,46.77,1.12
201,Poum,MK,1551679111,41.28,20.71,0,70,15.77,1.9
202,Sur,OM,1551679111,22.57,59.53,0,99,70.22,12.19
203,Ilulissat,GL,1551675000,69.22,-51.1,88,78,12.2,2.24
204,Aykhal,RU,1551679112,65.95,111.51,36,73,10.95,5.59
205,Tessalit,ML,1551679112,20.2,1.01,0,41,43.98,3.58
206,Oktyabrskiy,RU,1551678559,55.61,37.97,90,92,28.0,6.71
207,Dawei,MM,1551679113,14.07,98.19,0,46,88.94,3.24
208,Lompoc,US,1551678929,34.64,-120.46,90,93,53.6,8.05
209,Nea Iraklitsa,GR,1551679084,40.87,24.32,20,93,48.99,3.36
210,Maceio,BR,1551675600,-9.67,-35.74,0,88,75.2,3.36
211,Nishihara,JP,1551679084,35.74,139.53,75,93,53.01,9.17
212,Cidreira,BR,1551679115,-30.17,-50.22,0,85,73.1,11.41
213,Lazaro Cardenas,MX,1551678860,28.39,-105.62,0,16,64.99,6.38
214,College,US,1551678958,64.86,-147.8,1,84,21.99,2.91
215,Pevek,RU,1551679082,69.7,170.27,68,76,4.83,11.52
216,Nikolskoye,RU,1551678718,59.7,30.79,40,85,14.0,6.71
217,Tolaga Bay,NZ,1551679116,-38.37,178.3,0,53,68.33,8.16
218,La Ronge,CA,1551675600,55.1,-105.3,90,65,6.8,23.04
219,Huoqiu,CN,1551679117,32.34,116.27,12,76,60.14,5.37
220,Grindavik,IS,1551678856,63.84,-22.43,0,69,34.0,25.28
221,Juneau,US,1551675360,58.3,-134.42,1,58,24.8,4.7
222,Nabire,ID,1551679118,-3.36,135.5,80,92,74.18,2.13
223,Ipixuna,BR,1551675600,-1.76,-48.8,40,94,75.2,4.7
224,Kruisfontein,ZA,1551679119,-34.0,24.73,0,83,64.28,7.61
225,Saskylakh,RU,1551679119,71.97,114.09,8,65,-4.4,14.2
226,Sabang,PH,1551679120,13.72,123.58,92,100,76.7,6.26
227,Luzhou,CN,1551679120,28.89,105.45,92,95,53.07,3.58
228,Te Anau,NZ,1551679120,-45.41,167.72,36,69,59.55,14.2
229,Talnakh,RU,1551679121,69.49,88.39,80,82,12.62,9.95
230,Soyo,AO,1551675600,-6.13,12.37,75,88,80.6,3.36
231,Santa Cruz,US,1551678958,36.97,-122.03,90,87,54.0,1.79
232,Innisfail,CA,1551678615,52.02,-113.95,5,53,-4.01,8.05
233,Pisco,PE,1551675600,-13.71,-76.2,0,88,71.6,5.82
234,Mar del Plata,AR,1551679005,-46.43,-67.52,0,64,52.13,17.22
235,Imeni Babushkina,RU,1551679123,59.76,43.13,56,75,6.95,3.8
236,Oistins,BB,1551675600,13.07,-59.53,40,78,77.0,19.46
237,Ciudad Bolivar,VE,1551679124,8.12,-63.55,0,62,77.87,13.98
238,Talaban,IQ,1551675600,35.38,44.92,75,100,41.0,3.36
239,Morehead,US,1551678319,38.18,-83.43,90,79,28.4,8.05
240,Cururupu,BR,1551679125,-1.82,-44.87,80,95,76.38,2.91
241,Nouadhibou,MR,1551675600,20.93,-17.03,0,77,59.0,21.92
242,Rena,NO,1551678609,61.13,11.37,92,93,28.99,1.01
243,Soldotna,US,1551679025,60.48,-151.07,90,86,30.2,4.81
244,Aksarka,RU,1551679127,66.56,67.8,76,75,-0.71,24.27
245,Aanekoski,FI,1551678866,62.6,25.73,90,92,19.99,3.36
246,Tumaco,CO,1551679128,1.8,-78.82,48,96,75.89,2.46
247,Wanning,AT,1551679117,48.64,13.53,0,86,43.0,5.82
248,Trincomalee,LK,1551679129,8.58,81.23,0,59,89.57,6.71
249,Sibolga,ID,1551679129,1.74,98.78,8,91,79.35,0.45
250,Kathmandu,NP,1551676800,27.71,85.32,20,48,66.2,4.7
251,Bukachacha,RU,1551679130,52.99,116.91,56,56,32.82,5.93
252,Ust-Maya,RU,1551679130,60.42,134.54,0,55,-1.07,3.69
253,Ende,ID,1551679131,-8.84,121.65,20,100,83.4,4.59
254,Pontes e Lacerda,BR,1551679131,-15.23,-59.33,44,87,74.36,3.36
255,Harsud,IN,1551679132,21.96,76.7,20,49,80.93,5.93
256,Ostrovnoy,RU,1551679132,68.05,39.51,20,76,-1.2,11.74
257,Bay Roberts,CA,1551679117,47.58,-53.28,90,85,21.99,11.41
258,Samoylovka,RU,1551677585,51.19,43.71,92,83,25.0,5.01
259,Alice Springs,AU,1551675600,-23.7,133.88,0,12,98.6,14.99
260,Bathsheba,BB,1551675600,13.22,-59.52,40,78,77.0,19.46
261,Sao Joao da Barra,BR,1551679134,-21.64,-41.05,48,98,82.82,17.45
262,Sao Filipe,CV,1551678868,14.9,-24.5,0,94,70.62,15.99
263,Kaeo,NZ,1551677884,-35.1,173.78,24,67,72.0,4.0
264,Sesimbra,PT,1551678902,38.45,-9.1,75,87,57.2,4.7
265,Spring,US,1551678848,30.08,-95.42,90,75,45.0,11.41
266,Saldanha,PT,1551679136,41.42,-6.55,88,89,47.85,9.51
267,Palmer,AU,1551679115,-34.85,139.16,0,50,86.0,14.99
268,Ixtapa,MX,1551678905,20.71,-105.21,5,100,71.01,0.67
269,Nikki,BJ,1551679137,9.94,3.21,32,38,66.48,4.03
270,Caravelas,BR,1551679138,-17.73,-39.27,68,99,84.12,10.63
271,Fortuna,ES,1551678919,38.18,-1.13,0,61,53.01,5.82
272,Catarman,PH,1551679138,12.5,124.64,56,98,80.25,11.63
273,Kodinsk,RU,1551679139,58.6,99.18,44,65,27.56,6.38
274,Lima,PE,1551678904,-12.06,-77.04,0,83,73.4,8.05
275,Cabo San Lucas,MX,1551678901,22.89,-109.91,5,32,69.8,4.7
276,Bilma,NE,1551679140,18.69,12.92,0,32,53.57,10.63
277,Hovd,NO,1551679104,63.83,10.7,75,79,30.99,11.41
278,Cazones,MX,1551679140,20.72,-97.32,0,95,74.13,7.27
279,Northam,GB,1551679109,51.04,-4.21,20,93,44.01,3.36
280,Mount Darwin,ZW,1551679142,-16.77,31.58,12,71,75.08,3.58
281,Urucara,BR,1551679142,-2.54,-57.76,68,83,78.14,4.59
282,Micheweni,TZ,1551679142,-4.97,39.83,64,100,83.81,7.05
283,Christchurch,NZ,1551679085,-43.53,172.64,0,60,78.01,8.05
284,Daru,SL,1551678941,7.99,-10.85,0,85,65.36,2.57
285,Buraydah,SA,1551675600,26.33,43.97,0,71,50.0,4.47
286,Tasiilaq,GL,1551679144,65.61,-37.64,44,94,15.95,11.63
287,Niquelandia,BR,1551679145,-14.47,-48.46,56,95,69.5,1.57
288,Guadalupe y Calvo,MX,1551679145,26.09,-106.96,0,68,43.22,1.57
289,Margate,AU,1551679095,-43.03,147.26,75,40,71.6,17.22
290,Hailar,CN,1551679145,49.2,119.7,64,45,37.82,10.74
291,Radzyn Podlaski,PL,1551679144,51.78,22.62,40,81,46.99,14.99
292,Sabha,LY,1551679146,27.03,14.43,0,62,44.7,2.91
293,Mehriz,IR,1551676800,31.58,54.44,0,25,53.6,2.24
294,Kaeng Khoi,TH,1551678700,14.59,101.0,12,73,97.0,3.0
295,Sept-Iles,CA,1551678394,50.2,-66.38,75,78,12.0,9.17
296,Half Moon Bay,US,1551679145,37.46,-122.43,90,87,53.6,9.17
297,Hofn,IS,1551679149,64.25,-15.21,68,100,35.39,35.57
298,Oskaloosa,US,1551678993,39.22,-95.31,1,59,3.99,10.29
299,Codrington,AU,1551678829,-28.95,153.24,75,45,84.2,13.87
300,Vardo,US,1551679146,39.62,-77.74,90,93,33.8,9.17
301,Akonolinga,CM,1551679150,3.77,12.24,48,95,71.48,2.35
302,Soe,EE,1551679118,57.91,26.05,88,92,27.0,6.93
303,Lagoa,PT,1551679029,37.14,-8.45,40,93,55.99,4.7
304,Iqaluit,CA,1551678765,63.75,-68.52,5,75,-14.01,4.7
305,Tautira,PF,1551678785,-17.73,-149.15,20,78,82.4,8.05
306,Kefar Shemaryahu,IL,1551678989,32.19,34.82,75,81,55.0,6.93
307,Kawalu,ID,1551679153,-7.38,108.21,24,75,81.2,3.13
308,Bulungu,CD,1551679154,-4.54,18.6,64,98,71.7,4.14
309,Soltau,DE,1551679094,52.99,9.84,20,66,54.0,11.41
310,Port-Gentil,GA,1551675600,-0.72,8.78,75,88,77.0,3.36
311,Port Blair,IN,1551675600,11.67,92.75,20,55,87.8,2.24
312,Lerik,AZ,1551675600,38.78,48.42,90,100,44.6,3.69
313,Touros,BR,1551679156,-5.2,-35.46,76,100,77.1,2.91
314,Hot Springs,US,1551679043,34.5,-93.06,90,68,30.2,6.93
315,Upernavik,GL,1551679157,72.79,-56.15,32,100,6.59,6.71
316,Griffith,AU,1551678017,-34.29,146.06,88,16,100.4,6.93
317,Coquimbo,CL,1551675600,-29.95,-71.34,0,93,59.0,1.12
318,Kattivakkam,IN,1551677623,13.22,80.32,40,59,89.6,5.82
319,Bambanglipuro,ID,1551679159,-7.95,110.28,8,100,82.05,2.68
320,Zhigansk,RU,1551679159,66.77,123.37,80,76,5.06,6.6
321,Rawson,AR,1551679159,-43.3,-65.11,88,39,62.43,12.75
322,Bembereke,BJ,1551679160,10.23,2.66,56,28,70.4,5.03
323,Yantongshan,CN,1551679160,43.28,126.02,88,68,45.02,4.7
324,Along,IN,1551679160,28.17,94.8,12,56,63.78,1.68
325,Vanavara,RU,1551679161,60.35,102.28,8,73,23.55,6.38
326,Buritizeiro,BR,1551679161,-17.37,-44.96,36,89,70.04,3.91
327,Anori,BR,1551679162,-3.74,-61.66,8,92,76.16,2.91
328,Pangkalanbuun,ID,1551679162,-2.68,111.62,20,88,87.68,3.69
329,Bronnoysund,NO,1551678901,65.46,12.2,0,67,21.99,8.05
330,Katsuura,JP,1551678883,33.93,134.5,75,87,51.8,13.87
331,Dickinson,US,1551679161,46.88,-102.79,1,69,-3.0,23.04
332,Aktau,KZ,1551677400,43.65,51.16,75,100,33.8,6.71
333,Veraval,FR,1551679103,49.65,0.71,75,75,48.2,23.04
334,Yining,CN,1551679165,29.04,114.56,48,70,58.92,3.8
335,Grand Gaube,MU,1551679146,-20.01,57.66,20,70,84.99,5.82
336,Meadow Lake,CA,1551679165,54.13,-108.44,0,61,-0.17,8.84
337,Mount Gambier,AU,1551675600,-37.83,140.78,0,33,75.2,13.87
338,Sorland,NO,1551678600,67.67,12.69,75,100,24.8,4.7
339,Ambon,FR,1551678977,47.55,-2.56,75,87,48.99,20.8
340,Alyangula,AU,1551675600,-13.85,136.42,75,70,84.2,9.17
341,Shache,CN,1551679167,38.42,77.24,80,45,46.64,5.14
342,Buncrana,GB,1551679167,55.14,-7.45,48,73,44.57,18.68
343,Beyneu,KZ,1551679168,45.32,55.19,20,74,27.29,5.37
344,Williams Lake,CA,1551675600,52.13,-122.14,5,45,5.0,8.05
345,Saint Anthony,US,1551678684,43.97,-111.68,1,66,16.0,9.17
346,Vanimo,PG,1551679169,-2.67,141.3,80,99,82.73,14.54
347,Keetmanshoop,NA,1551675600,-26.57,18.15,0,59,66.2,8.05
348,Kaitangata,NZ,1551679106,-46.28,169.85,12,54,67.97,23.26
349,Natalicio Talavera,PY,1551679170,-25.65,-56.31,0,77,68.82,2.91
350,Matara,PE,1551679170,-13.74,-72.9,68,100,41.69,1.57
351,Byron Bay,AU,1551678829,-28.65,153.62,40,69,84.2,12.75
352,Neuquen,AR,1551675600,-38.95,-68.06,0,39,64.4,8.05
353,Maluso,PH,1551675600,6.54,121.88,40,62,87.8,8.05
354,Ekhabi,RU,1551679172,53.51,142.97,0,87,13.52,10.85
355,San Ignacio,CL,1551678681,-36.8,-72.03,0,82,55.4,6.93
356,Grand Forks,US,1551678371,47.91,-97.06,1,76,-4.01,11.41
357,Aquiraz,BR,1551679106,-3.9,-38.39,75,88,78.01,5.82
358,Jalu,LY,1551679173,29.03,21.55,0,80,44.66,3.8
359,Namatanai,PG,1551679174,-3.66,152.44,24,100,82.68,6.15
360,Eirunepe,BR,1551679174,-6.66,-69.87,12,90,76.47,2.57
361,Maputo,MZ,1551675600,-25.97,32.57,75,94,78.8,5.82
362,Kandrian,PG,1551679175,-6.21,149.55,88,95,79.08,1.23
363,Guiberoua,CI,1551679175,6.24,-6.17,0,90,74.4,6.49
364,Isangel,VU,1551675600,-19.55,169.27,75,66,89.6,6.93
365,Macau,BR,1551679176,-5.11,-36.64,92,96,75.35,2.35
366,Kaniama,CD,1551679177,-7.57,24.18,80,91,70.85,3.58
367,Vila Velha,BR,1551679106,-3.71,-38.6,75,88,78.01,5.82
368,Mersing,MY,1551679178,2.43,103.84,24,62,88.17,10.4
369,Yar-Sale,RU,1551679178,66.83,70.83,92,92,13.07,18.12
370,Lerwick,GB,1551678600,60.15,-1.15,88,87,42.8,1.12
371,Orlik,RU,1551679179,52.51,99.83,0,65,27.65,2.46
372,Myitkyina,MM,1551679179,25.38,97.4,0,69,72.29,2.35
